TICKS,CPU%
1697886308.58,0.00
1697886310.08,2.00
1697886311.59,2.00
1697886313.09,0.00
1697886314.59,0.00
1697886316.09,0.00
1697886317.60,2.00
1697886319.10,2.00
1697886320.60,2.00
1697886322.10,0.00
1697886323.61,4.00
1697886325.11,7.70
1697886326.61,0.00
1697886328.11,0.00
1697886329.61,0.00
1697886331.12,0.00
1697886332.62,0.00
1697886334.12,2.00
1697886335.62,0.00
1697886337.13,0.00
1697886338.63,0.00
1697886340.13,2.00
1697886341.63,0.00
1697886343.14,0.00
1697886344.64,0.00
1697886346.14,2.00
1697886347.65,3.80
1697886349.15,0.00
1697886350.65,0.00
1697886352.16,0.00
1697886353.66,0.00
1697886355.16,4.00
1697886356.66,0.00
1697886358.17,2.00
1697886359.67,4.00
1697886361.17,0.00
1697886362.67,4.00
1697886364.18,2.00
1697886365.68,0.00
1697886367.18,0.00
1697886368.68,4.00
1697886370.19,2.00
1697886371.69,2.00
