TICKS,Net_recv,Net_sent
1697885350.68,174.67,3.99
1697885351.68,174.67,3.99
1697885352.68,174.67,3.99
1697885353.68,174.67,3.99
1697885354.68,174.67,3.99
1697885355.68,174.67,3.99
1697885356.68,174.67,3.99
1697885357.69,174.67,3.99
1697885358.69,174.67,3.99
1697885359.69,174.67,3.99
1697885360.69,174.67,3.99
1697885361.69,174.67,3.99
1697885362.69,174.67,3.99
1697885363.70,174.67,3.99
1697885364.70,174.67,3.99
1697885365.70,174.67,3.99
1697885366.70,174.67,3.99
1697885367.70,174.67,3.99
1697885368.70,174.67,3.99
1697885369.71,174.67,3.99
1697885370.71,174.67,3.99
1697885371.71,174.68,3.99
1697885372.71,174.68,3.99
1697885373.71,174.68,3.99
1697885374.71,174.68,3.99
1697885375.72,174.68,3.99
1697885376.72,174.68,3.99
1697885377.72,174.68,3.99
1697885378.72,174.68,3.99
1697885379.72,174.68,3.99
1697885380.72,174.68,3.99
1697885381.73,174.68,3.99
1697885382.73,174.68,3.99
1697885383.73,174.68,3.99
1697885384.73,174.68,3.99
1697885385.73,174.68,3.99
1697885386.73,174.68,3.99
1697885387.74,174.68,3.99
1697885388.74,174.68,3.99
1697885389.74,174.68,3.99
1697885390.74,174.68,4.00
1697885391.74,174.68,4.00
1697885392.74,174.68,4.00
1697885393.74,174.68,4.00
1697885394.75,174.68,4.00
1697885395.75,174.68,4.00
