TICKS,Memoryper%
1697885593.05,34.30
1697885594.05,34.30
1697885595.05,34.30
1697885596.06,34.30
1697885597.06,34.30
1697885598.06,34.30
1697885599.06,34.30
1697885600.06,34.30
1697885601.06,34.30
1697885602.06,34.30
1697885603.07,34.30
1697885604.07,34.30
1697885605.07,34.30
1697885606.07,34.30
1697885607.07,34.30
1697885608.07,34.30
1697885609.07,34.30
1697885610.08,34.30
1697885611.08,34.30
1697885612.08,34.30
1697885613.08,34.30
1697885614.08,34.30
1697885615.08,34.30
1697885616.09,34.30
1697885617.09,34.30
1697885618.09,34.30
1697885619.09,34.30
1697885620.09,34.20
1697885621.09,34.20
1697885622.09,34.20
1697885623.10,34.20
1697885624.10,34.30
1697885625.10,34.20
1697885626.10,34.30
1697885627.10,34.30
1697885628.11,34.30
1697885629.11,34.30
1697885630.11,34.30
1697885631.11,34.30
1697885632.11,34.30
1697885633.11,34.30
1697885634.11,34.30
1697885635.12,34.30
1697885636.12,34.30
1697885637.12,34.30
1697885638.12,34.30
1697885639.12,34.30
1697885640.12,34.30
1697885641.13,34.30
1697885642.13,34.30
1697885643.13,34.30
1697885644.13,34.30
1697885645.13,34.30
1697885646.13,34.30
1697885647.13,34.30
1697885648.14,34.30
1697885649.14,34.30
1697885650.14,34.30
1697885651.14,34.30
1697885652.14,34.30
1697885653.14,34.30
1697885654.15,34.30
1697885655.15,34.30
1697885656.15,34.30
1697885657.15,34.30
1697885658.15,34.30
1697885659.15,34.30
1697885660.16,34.30
1697885661.16,34.30
1697885662.16,34.30
1697885663.16,34.30
1697885664.16,34.30
1697885665.16,34.30
1697885666.16,34.30
1697885667.17,34.30
1697885668.17,34.30
1697885669.17,34.30
1697885670.17,34.30
1697885671.17,34.30
1697885672.17,34.30
1697885673.18,34.30
1697885674.18,34.30
1697885675.18,34.30
1697885676.18,34.30
1697885677.18,34.30
1697885678.18,34.30
1697885679.19,34.30
1697885680.19,34.30
1697885681.19,34.30
1697885682.19,34.30
1697885683.19,34.30
1697885684.19,34.30
1697885685.20,34.30
1697885686.20,34.30
1697885687.20,34.30
1697885688.20,34.30
1697885689.20,34.30
1697885690.20,34.30
1697885691.21,34.30
1697885692.21,34.30
1697885693.21,34.30
1697885694.21,34.30
1697885695.21,34.30
1697885696.21,34.30
1697885697.21,34.30
1697885698.22,34.30
1697885699.22,34.30
1697885700.22,34.30
1697885701.22,34.30
1697885702.22,34.30
1697885703.22,34.30
1697885704.23,34.30
1697885705.23,34.30
1697885706.23,34.30
1697885707.23,34.30
1697885708.23,34.30
